file_name,value_per_atom,composition,HHI_P,HHI_R
322_Nb4V8,0.1597620642543861,NbV2,5780.182317947724,5975.573945561097
323_TaYb,3.229303225683664,YbTa,5819.578127929125,3968.98849757229
324_BaGa4,-0.469580045886774,BaGa4,4675.151783075737,2031.975714707882
325_Fe5Ir,0.1523481086559973,Fe5Ir,3663.936390902805,4539.454906435999
326_Ba16Ir8,0.0796746013083324,Ba2Ir,4029.283249548591,5099.650438772167
327_Au2Nb3,-0.1809541178163854,Nb3Au2,4166.252361669694,4231.995732570759
328_Ba2In,-0.3119255525568878,Ba2In,3088.441274340646,2211.558725659354
329_SnTa,1.464329287677855,TaSn,2418.845531444059,3532.314331263373
330_FePd3,1.3101389883025163,FePd3,3080.897348742352,7017.403127124405
331_VW2,-0.0937538236216634,VW2,6549.751864154135,4190.480183172627
332_FePd2,0.637573661042404,FePd2,3033.723505219868,6628.218918063904
333_K2P2,-0.4201608338771931,KP,1832.608179847769,6271.742741065619
334_Ba2Cu,0.0233477096016647,Ba2Cu,2736.947368421052,2149.684210526316
335_Cu3Sb,0.1292163677066637,Cu3Sb,4055.483069673941,2240.542513076268
336_KP3,0.0163658427781863,KP3,1911.153410222026,5721.92612844582
337_SmYb3,-0.1239708918231743,Yb3Sm,9500,3100
339_Na2Pt,0.0049673128952048,Na2Pt,4660.760806580271,7459.668849225076
340_Ag2Ge2,0.1739586116285205,AgGe,2849.919505041877,1601.209695736814
341_PtV3,-0.2432882618193055,V3Pt,4533.614010580368,6596.1817546855
342_Ag3Ge,0.0800694173601241,Ag3Ge,1951.616551998437,1491.660555121761
343_TaGe3,0.210347076036002,TaGe3,3939.038972002458,3215.595660397623
344_Nb3W,-0.0274865342817491,Nb3W,7903.83839350791,7011.515180523727
345_Cu6Pt4,-0.1122154596063794,Cu3Pt2,4219.902686955713,6605.451389964978
346_Ni4Rh8,0.0535778871675454,NiRh2,2711.821050991968,6557.653105203543
347_SmTa,0.266372281515423,SmTa,5567.631304151293,4028.475942075389
348_MnNb,1.8045609325081904,MnNb,5936.004025853528,6198.844663909376
349_Ga2As2,0.2211742613306651,GaAs,4360.465444268228,2987.737530471238
350_FeAs3,0.2431374712098151,FeAs3,3120.888293994009,3482.566182649359
351_Cr3Rh,0.1470079694940231,Cr3Rh,3139.74815155867,5650.17791078813
352_AuP3,0.5236402867825065,P3Au,1388.487965113268,2314.222952182664
353_Fe8Pd4,0.8325658894387308,Fe2Pd,2790.335151987529,4620.265003897116
354_CaCr3,0.7352797838408138,CaCr3,3263.528357499478,3568.532838126695
355_Cr3Sr,0.6730755965588244,SrCr3,3495.643333991494,3704.356666008506
356_Ag3Ca,-0.1590576046828498,CaAg3,1497.541317621464,1411.020048800795
357_CeGa3,-0.2983194587045221,CeGa3,7104.603690396096,2381.381107118828
358_SbGe,0.3136889612467888,GeSb,6928.477366255143,2839.506172839506
359_As6Br2,0.7613573160563023,As3Br,3300,4760.568853784831
360_Au3Cr,0.0727205118778444,CrAu3,1261.755915760701,1250.721669429087
361_AlTa2,0.6240335894659429,Ta2Al,2251.431783012288,4536.34396492385
362_Au6Ga10,-0.0879386703295863,Ga5Au3,2732.65778446191,1333.952728639936
364_Ca2Sn,-0.4536710840000347,Ca2Sn,3123.984994921203,1559.693461929138
365_In2Na2,-0.095822273802697,NaIn,2932.985188859448,1749.762628767805
366_NiAs3,0.0077896201439395,NiAs3,2823.757576954909,3482.345192342293
367_Al3Rh,-0.5352493491958317,Al3Rh,2495.559947207822,4918.074769034222
368_CaW3,0.7743857544767856,CaW3,6789.98948610374,4110.313084222733
369_Ba3Sn,-0.3223431693894989,Ba3Sn,2910.524203349972,2143.417355862451
370_WAs2,0.570508179759018,As2W,5338.484406766658,4165.282519467567
371_Ag14Ca4,-0.2682671116525693,Ca2Ag7,1459.114637896425,1409.596838440608
372_Ag4Al8,-0.0227212694995966,Al2Ag,1333.381082158326,1266.618917841674
373_Mn8W16,0.2505562964440694,MnW2,6298.029399099606,3975.013610694262
374_Al6Rh6,-0.7530327867590891,AlRh,2867.630718004529,6545.884391269816
375_Cu4Sn5,0.2151247137357125,Cu4Sn5,2300.160663604385,1570.016066360438
376_Mo3Sr,0.7041883060347418,SrMo3,2820.083102493075,4763.227146814404
377_Au3Nb,-0.0381561659350113,NbAu3,2105.412535908005,2059.7591594706
378_CaW3,0.7728979899659549,CaW3,6789.98948610374,4110.313084222733
379_P3As,0.6037013122326167,AsP3,2580.293167742599,4608.9827042178
380_MoTa2,-0.1507586219781795,Ta2Mo,2320.955112811633,4904.775564058168
381_Sb4Ge2,0.2403865894397162,GeSb2,7302.631578947367,3055.364372469635
382_AuNb2,0.0519616767212696,Nb2Au,4692.185679389182,4786.357878275084
383_Ni3Sm,-0.3299709059681639,SmNi3,4915.142804103171,2236.96805724295
384_CrAs3,0.5987397938903678,CrAs3,3262.425255879714,4018.787372060143
385_IrPb2,0.2257577188972366,IrPb2,3587.228020315949,4113.130195823724
