file_name,formula,space_group,value_per_atom,most_distinct_OFM
306_Na2Pt2,Na2Pt2,P4/nmm,0.0534883309573936,False
307_NbW3,NbW3,Pmm2,0.4627843224115704,False
308_Na4Pb,Na4Pb,Im-3m,-0.0642697687374035,False
309_Fe16Pd8,Fe16Pd8,Fd-3m,0.2678129794078536,False
310_Ba6Sn2,Ba6Sn2,Cmcm,-0.1445053251641583,False
311_Fe3Pd,Fe3Pd,Fm-3m,0.0705064552450434,False
312_Nb2W4,Nb2W4,Pnnm,0.1948479195466153,False
313_AgSn,AgSn,P4/mmm,0.0409468929222187,False
314_Mo3Ta,Mo3Ta,P4/mmm,-0.1259140954870599,False
315_CrNa,CrNa,Cmmm,0.9867061782141312,False
316_MnW,MnW,F-43m,1.98968045727348,False
317_Fe4W2,Fe4W2,I4/mcm,0.6376702269705253,False
318_Sb3Ge,Sb3Ge,Pmmm,0.2645231169142601,False
319_GaNa3,GaNa3,P4/mmm,0.0242168552505561,False
320_AuGa3,AuGa3,P4/mmm,-0.044392137011382,False
321_PAs,PAs,Pm-3m,0.552972441845033,False
322_Nb4V8,Nb4V8,I4_1/amd,0.1597620642543861,False
323_TaYb,TaYb,F-43m,3.229303225683664,False
324_BaGa4,BaGa4,I4/mmm,-0.469580045886774,False
325_Fe5Ir,Fe5Ir,P4/mmm,0.1523481086559973,False
326_Ba16Ir8,Ba16Ir8,Fd-3m,0.0796746013083324,False
327_Au2Nb3,Au2Nb3,I4/mmm,-0.1809541178163854,False
328_Ba2In,Ba2In,I4/mmm,-0.3119255525568878,False
329_SnTa,SnTa,F-43m,1.464329287677855,False
330_FePd3,FePd3,Pm-3m,1.3101389883025163,False
331_VW2,VW2,I4/mmm,-0.0937538236216634,False
332_FePd2,FePd2,Fm-3m,0.637573661042404,False
333_K2P2,K2P2,Cmcm,-0.4201608338771931,False
334_Ba2Cu,Ba2Cu,I4/mmm,0.0233477096016647,False
335_Cu3Sb,Cu3Sb,Fm-3m,0.1292163677066637,False
336_KP3,KP3,Pmmm,0.0163658427781863,False
337_SmYb3,SmYb3,Pm-3m,-0.1239708918231743,False
338_Nb2V,Nb2V,I4/mmm,0.0503705615820422,False
339_Na2Pt,Na2Pt,I4/mmm,0.0049673128952048,False
340_Ag2Ge2,Ag2Ge2,Pmmn,0.1739586116285205,False
341_PtV3,PtV3,I4/mmm,-0.2432882618193055,False
342_Ag3Ge,Ag3Ge,Pmmm,0.0800694173601241,False
343_TaGe3,TaGe3,Cmmm,0.210347076036002,False
344_Nb3W,Nb3W,Immm,-0.0274865342817491,False
345_Cu6Pt4,Cu6Pt4,P-1,-0.1122154596063794,False
346_Ni4Rh8,Ni4Rh8,Pnma,0.0535778871675454,False
347_SmTa,SmTa,P-6m2,0.266372281515423,False
348_MnNb,MnNb,F-43m,1.8045609325081904,False
349_Ga2As2,Ga2As2,P4/nmm,0.2211742613306651,False
350_FeAs3,FeAs3,Pmm2,0.2431374712098151,False
351_Cr3Rh,Cr3Rh,Pm-3m,0.1470079694940231,False
352_AuP3,AuP3,Cmmm,0.5236402867825065,False
353_Fe8Pd4,Fe8Pd4,Pa-3,0.8325658894387308,False
354_CaCr3,CaCr3,Cmmm,0.7352797838408138,False
355_Cr3Sr,Cr3Sr,P4/mmm,0.6730755965588244,False
356_Ag3Ca,Ag3Ca,P4/mmm,-0.1590576046828498,False
357_CeGa3,CeGa3,Fm-3m,-0.2983194587045221,False
358_SbGe,SbGe,Cmmm,0.3136889612467888,False
359_As6Br2,As6Br2,Pm-3n,0.7613573160563023,False
360_Au3Cr,Au3Cr,P4/mmm,0.0727205118778444,False
361_AlTa2,AlTa2,P4/mmm,0.6240335894659429,False
362_Au6Ga10,Au6Ga10,I4/mcm,-0.0879386703295863,False
363_Nb8P,Nb8P,I4/mmm,-0.147451398258034,False
364_Ca2Sn,Ca2Sn,I4/mmm,-0.4536710840000347,False
365_In2Na2,In2Na2,P4/nmm,-0.095822273802697,False
366_NiAs3,NiAs3,Fm-3m,0.0077896201439395,False
367_Al3Rh,Al3Rh,Pmmm,-0.5352493491958317,False
368_CaW3,CaW3,P4/mmm,0.7743857544767856,False
369_Ba3Sn,Ba3Sn,Immm,-0.3223431693894989,False
370_WAs2,WAs2,P4/mmm,0.570508179759018,False
371_Ag14Ca4,Ag14Ca4,Cmcm,-0.2682671116525693,False
372_Ag4Al8,Ag4Al8,P-1,-0.0227212694995966,False
373_Mn8W16,Mn8W16,Fd-3m,0.2505562964440694,False
374_Al6Rh6,Al6Rh6,Pmmm,-0.7530327867590891,False
375_Cu4Sn5,Cu4Sn5,I4/mmm,0.2151247137357125,False
376_Mo3Sr,Mo3Sr,Cmmm,0.7041883060347418,False
377_Au3Nb,Au3Nb,Pmmm,-0.0381561659350113,False
378_CaW3,CaW3,P4/mmm,0.7728979899659549,False
379_P3As,P3As,Fm-3m,0.6037013122326167,False
380_MoTa2,MoTa2,I4/mmm,-0.1507586219781795,False
381_Sb4Ge2,Sb4Ge2,Cmcm,0.2403865894397162,False
382_AuNb2,AuNb2,Immm,0.0519616767212696,False
383_Ni3Sm,Ni3Sm,Pm-3m,-0.3299709059681639,False
384_CrAs3,CrAs3,I4/mmm,0.5987397938903678,False
385_IrPb2,IrPb2,I4/mmm,0.2257577188972366,False
386_Na2Pt2,Na2Pt2,Cmcm,-0.0678347584527458,False
387_FePd,FePd,Fm-3m,0.4812580703488791,False
388_IrBr3,IrBr3,P4/mmm,0.6300865230216401,False
389_Cr2As4,Cr2As4,I4_1/amd,0.0834798005825246,False
390_Pb6As2,Pb6As2,Pmmn,0.28922667106808,False
391_Ga2Na,Ga2Na,I4/mmm,-0.0480496307103811,False
392_FePd3,FePd3,Fm-3m,-0.0230776675298578,False
393_Mn6W2,Mn6W2,Pm-3n,0.1746507393824732,False
395_Ir2Pb2,Ir2Pb2,P4/nmm,0.3738050343011903,False
396_Au2Nb2,Au2Nb2,Cmme,-0.1082128533063704,False
397_AuNb3,AuNb3,Pmm2,0.0958726177621862,False
398_Nb2V4,Nb2V4,I4_1/amd,0.4809952880147084,False
399_Au2Nb2,Au2Nb2,Pmma,-0.0960918000005977,False
