file_name,formula,space_group,value_per_atom,composition,crystal_system
4243_Ir3Ni,Ir3Ni,Imm2,0.047391822307901,NiIr3,orthorhombic
4244_AgIr3,AgIr3,Pm-3m,3.4604658513367634,AgIr3,cubic
4245_Cu2Mn,Cu2Mn,Immm,0.4952616009620237,MnCu2,orthorhombic
4248_Pt2V,Pt2V,Immm,-0.5499976049611442,VPt2,orthorhombic
4249_AuRh,AuRh,Pm-3m,0.2785169400110483,RhAu,cubic
4250_Ba4Ca2,Ba4Ca2,Cmcm,0.0320475488332038,Ba2Ca,orthorhombic
4252_AlCu3,AlCu3,Imm2,-0.1649203732823112,AlCu3,orthorhombic
4254_CaBi,CaBi,P-6m2,-0.6500097699602416,CaBi,hexagonal
4256_PtV,PtV,F-43m,0.4367724316087003,VPt,cubic
4257_Fe2Sb2,Fe2Sb2,Imma,0.4179474835499421,FeSb,orthorhombic
4258_Al5Ni,Al5Ni,Amm2,-0.1007123025640458,Al5Ni,orthorhombic
4260_MoW,MoW,Pm-3m,-0.0115632644363721,MoW,cubic
4261_Mo4W16,Mo4W16,I-43m,0.9989554266022864,MoW4,cubic
4264_MoBr3,MoBr3,Imm2,-0.3920457264089467,MoBr3,orthorhombic
4266_IrMo3,IrMo3,Cmmm,0.0075335950078798,Mo3Ir,orthorhombic
4268_In4W8,In4W8,Pnma,0.5404186690897484,InW2,orthorhombic
4269_AuNi2,AuNi2,Immm,0.1135973976274199,Ni2Au,orthorhombic
4270_Mo2V6,Mo2V6,Cmcm,-0.0734245459992521,V3Mo,orthorhombic
4271_MnBr2,MnBr2,P-3m1,-0.985413620866448,MnBr2,trigonal
4272_RbW,RbW,F-43m,3.473318277164075,RbW,cubic
4274_Fe8W4,Fe8W4,Pa-3,1.27481575434075,Fe2W,cubic
4276_V8As16,V8As16,Fd-3m,0.0624888650882127,VAs2,cubic
4277_ThBr,ThBr,F-43m,-0.1704102825568485,ThBr,cubic
4278_CuTa3,CuTa3,Immm,0.1501830417095071,Ta3Cu,orthorhombic
4279_Fe4W2,Fe4W2,Fd-3m,-0.0117364097206985,Fe2W,cubic
4282_AlSn,AlSn,Fm-3m,0.0668889507328112,AlSn,cubic
4283_Cu2Mn2,Cu2Mn2,Cmcm,0.2471525421194602,MnCu,orthorhombic
4284_MoW5,MoW5,Cmmm,0.0012216927512819,MoW5,orthorhombic
4286_AcBr,AcBr,P-6m2,-1.339549648914408,AcBr,hexagonal
4287_Ba4W2,Ba4W2,Pnnm,1.4642914263667777,Ba2W,orthorhombic
4288_AuYb,AuYb,Pm-3m,-1.0277863141157448,YbAu,cubic
4289_K32Ge32,K32Ge32,P-43n,-0.2314262604501489,KGe,cubic
4290_Mo2W2,Mo2W2,Fd-3m,-0.0119251779004159,MoW,cubic
4291_MoBr,MoBr,Cmmm,0.9804332898592608,MoBr,orthorhombic
4293_KP2,KP2,Fm-3m,1.0624264301844708,KP2,cubic
4294_Cr2As4,Cr2As4,C2/m,-0.4620956065782605,CrAs2,monoclinic
4295_AuAs5,AuAs5,Cmmm,0.4915406082243644,As5Au,orthorhombic
