file_name,formula,space_group,value_per_atom,structural_complexity
2026_Sr8Bi6,Sr8Bi6,I-43d,-0.9292699023510173,13.79319390447952
3828_Th6Bi8,Th6Bi8,I-43d,-0.6813683766328101,13.79319390447952
2011_Ba8Bi6,Ba8Bi6,I-43d,-0.952543718522009,13.79319390447952
218_Ag5Al2,Ag5Al2,I4/mmm,-0.0047721081775178,13.651484454403228
157_Ag3Al4,Ag3Al4,P-1,0.003962790239954,13.651484454403228
2028_Ag3Al4,Ag3Al4,I4/mmm,-0.0070739792168131,13.651484454403228
205_Ir3Mn4,Ir3Mn4,I4/mmm,0.0216022662820246,13.651484454403226
2900_Mn4Ta3,Mn4Ta3,I4/mmm,0.0413758628793833,13.651484454403226
1941_Nb3P4,Nb3P4,I4/mmm,-0.7612680442137554,13.651484454403226
253_Cu3Ge4,Cu3Ge4,I4/mmm,0.2297082476966535,13.651484454403226
4444_Al4Ba3,Al4Ba3,I4/mmm,0.0292033668084903,13.651484454403226
3719_Au3Fe4,Au3Fe4,I4/mmm,0.1105281714746949,13.651484454403226
3020_Au4Ni3,Au4Ni3,I4/mmm,0.0763955927040973,13.651484454403226
4420_Au3P4,Au3P4,I4/mmm,0.0064831113172161,13.651484454403226
3262_In4Rh3,In4Rh3,I4/mmm,-0.1529194983569896,13.651484454403226
4168_Fe3Mo4,Fe3Mo4,I4/mmm,0.2261068901686473,13.651484454403226
561_Ag4Al3,Ag4Al3,I4/mmm,-0.0150315622136787,13.651484454403226
4931_Pb4As3,Pb4As3,I4/mmm,0.1430533531112188,13.651484454403226
2351_Ni4Sb3,Ni4Sb3,I4/mmm,-0.0920022587204028,13.651484454403226
734_Fe3Ir4,Fe3Ir4,I4/mmm,0.3829532302239989,13.651484454403226
2034_Fe3Ga4,Fe3Ga4,I4/mmm,0.078311859130354,13.651484454403226
4855_K3P4,K3P4,I4/mmm,-0.139473519418894,13.651484454403226
3326_W4P3,W4P3,I4/mmm,-0.2027034634468054,13.651484454403226
1130_Ir4Mn3,Ir4Mn3,I4/mmm,0.1284928555570275,13.651484454403226
3902_Ga4P3,Ga4P3,I4/mmm,0.0203795103231487,13.651484454403226
1118_Ag4Al3,Ag4Al3,I4/mmm,-0.0526194813139255,13.651484454403226
3273_Fe3V4,Fe3V4,I4/mmm,-0.0739615341255576,13.651484454403226
744_V4W3,V4W3,I4/mmm,-0.0694999846588128,13.651484454403226
3747_Nb3V4,Nb3V4,I4/mmm,0.0366451192359237,13.651484454403226
1748_Ag4Al3,Ag4Al3,I4/mmm,-0.0356463121095568,13.651484454403226
560_Ir4As12,Ir4As12,Im-3,-0.42536219858306,12.980449991346124
3088_Rh4As12,Rh4As12,Im-3,-0.4381732386554331,12.980449991346124
1543_Cu5Pb4,Cu5Pb4,I4/mmm,0.2302710594214126,12.52932501298081
4587_InMo8,InMo8,I4/mmm,0.3558672096246924,12.52932501298081
2012_Au8In,Au8In,I4/mmm,-0.0480099525897463,12.52932501298081
4949_AgCu8,AgCu8,I4/mmm,0.8151936839697029,12.52932501298081
