formula,n_distinct_space_groups,distinct_space_groups
Sr2Br6,1,['Pmmn']
Sr2W,1,['Fmmm']
Sr2W2,1,['Fd-3m']
Sr3Br,1,['Immm']
Sr3Sb,1,['Immm']
Sr3Ta,1,['I4/mmm']
Sr4As2,1,['Pnnm']
Sr4Bi2,1,['I4/mmm']
Sr4Br,1,['Im-3m']
Sr4Br2,1,['Cmcm']
Sr4Br8,1,['Pnma']
Sr4V2,1,['Cmcm']
Sr6Br18,1,['Pmmn']
Sr6Br4,1,['R-3c']
Sr8Bi12,1,['Pnna']
Sr8Bi6,1,['I-43d']
Sr8Br16,1,['Fd-3m']
Sr8W4,1,['Pa-3']
SrAs2,1,['Fmmm']
SrAs3,1,['Pm-3m']
SrAs4,1,['I4/m']
SrSb,1,['F-43m']
SrTh,1,['P-6m2']
SrV,1,['P-6m2']
SrW,1,['Pm-3m']
SrW2,1,['Fm-3m']
SrW3,1,['Pm-3m']
SrW4,1,['Im-3m']
Ta10Ge6,1,['I4/mcm']
Ta12As12,1,['Pbcm']
Ta12V4,1,['Pnma']
Ta2Ge,1,['I4/mmm']
Ta2Ge4,1,['I4_1/amd']
Ta2Ge6,1,['I4/mmm']
Ta2P,1,['I4/mmm']
Ta2P2,1,['P4/nmm']
Ta2P4,1,['I4/mcm']
Ta2P6,1,['I4/mmm']
Ta2Sb4,1,['Cmcm']
Ta2V4,1,['Cmcm']
Ta3Ge,1,['P4/mmm']
Ta3Sb,1,['P4/mmm']
Ta3Sb5,1,['Cmmm']
Ta3V,1,['Cmmm']
Ta4Ge2,1,['I4_1/amd']
Ta4Sb8,1,['Pnma']
Ta4V12,1,['Pnma']
Ta4V6,1,['Fdd2']
Ta5Br4,1,['I4/mmm']
Ta5Sb4,1,['I4/m']
Ta5V,1,['Cmmm']
TaBi,1,['F-43m']
TaGe2,1,['I4/mmm']
TaGe4,1,['I4/m']
TaGe5,1,['Cmmm']
TaP,1,['Pm-3m']
TaP2,1,['I4/mmm']
TaP5,1,['P4/mmm']
TaSb4,1,['I4/mmm']
TaSb8,1,['I4/mmm']
TaV,1,['P-6m2']
TaV2,1,['Fmmm']
TaV3,1,['Fm-3m']
TaV5,1,['Cmmm']
TaW3,1,['I4/mmm']
TaYb,1,['F-43m']
Th6Bi8,1,['I-43d']
Th6Ge4,1,['P4/mbm']
ThBr,1,['F-43m']
ThGe,1,['R-3m']
ThI,1,['Fm-3m']
UBi,1,['F-43m']
UBr,1,['Fm-3m']
UGe,1,['R-3m']
UI,1,['Fm-3m']
UP,1,['Fm-3m']
USb,1,['P-6m2']
V10W6,1,['I4/mcm']
V12As4,1,['Pnma']
V12W4,1,['Pnma']
V16P8,1,['Fd-3m']
V18Sb6,1,['Pmmn']
V18W6,1,['Pmmn']
V26W2,1,['Fm-3c']
V2Br,1,['I4/mmm']
V2Br4,1,['I4_1/amd']
V2Ge,1,['I4/mmm']
V2Ge2,1,['P4/nmm']
V2Sb2,1,['Pmmn']
V2W2,1,['Cmcm']
V3P,1,['Pm-3m']
V3Sb,1,['Immm']
V3W,1,['P4/mmm']
V4As2,1,['Cmcm']
V4Br2,1,['I4_1/amd']
V4P,1,['Im-3m']
V4P4,1,['P2_13']
V4W3,1,['I4/mmm']
V4W4,1,['Pnma']
V4W8,1,['Pa-3']
V6W18,1,['Pmmn']
V6W2,1,['I4/mmm']
V8As16,1,['Fd-3m']
V8As4,1,['Pa-3']
V8W4,1,['Pnma']
VAs,1,['F-43m']
VAs5,1,['Amm2']
VAs7,1,['Fm-3m']
VBr2,1,['I4/mmm']
VBr5,1,['Cmmm']
VGe3,1,['P4/mmm']
VP3,1,['Pm-3m']
VP4,1,['Im-3m']
VSb,1,['P-6m2']
VW3,1,['P4/mmm']
VW5,1,['F-43m']
VW7,1,['Fm-3m']
W16Sb4,1,['I23']
W24P5,1,['I-43m']
W2As2,1,['P4/nmm']
W2As4,1,['Cmcm']
W2P,1,['I4/mmm']
W2P2,1,['I4_1/amd']
W2Sb2,1,['Fd-3m']
W3As,1,['P4/mmm']
W3P,1,['I4/mmm']
W4P3,1,['I4/mmm']
W4Sb16,1,['I-43m']
W5As,1,['Cmmm']
W5P,1,['F-43m']
W5Sb24,1,['I-43m']
W6As10,1,['I4cm']
W8Br,1,['I4/mmm']
W8Sb16,1,['Fd-3m']
WBr2,1,['I4/mmm']
WP3,1,['Fm-3m']
WSb3,1,['Pm-3m']
WSb4,1,['Im-3m']
YbBi,1,['F-43m']
YbBr,1,['Fm-3m']
YbGe,1,['P4/mmm']
YbP,1,['R-3m']
