formula,space_group,count,median,median_cif_name,other_cif_names
Ag2Ca,I4/mmm,2,-0.25388095325465326,0965_Ag2Ca.cif,2562_Ag2Ca.cif
Ag2Ca4,I4/mcm,2,-0.24965792111842594,0299_Ag2Ca4.cif,1639_Ag2Ca4.cif
Ag2Ge2,Cmcm,2,0.18984888637887226,2144_Ag2Ge2.cif,2217_Ag2Ge2.cif
Ag2Ge2,Cmme,2,0.19607421099291322,3113_Ag2Ge2.cif,1255_Ag2Ge2.cif
Ag2Ge4,Pnnm,2,0.29797692218111743,1235_Ag2Ge4.cif,1854_Ag2Ge4.cif
Ag2Mn,I4/mmm,2,0.22426761262177214,1249_Ag2Mn.cif,1858_Ag2Mn.cif
Ag2Na4,I4/mcm,2,-0.056424098518528795,2321_Ag2Na4.cif,1065_Ag2Na4.cif
Ag2Na4,Pnnm,2,0.0872236875345784,1562_Ag2Na4.cif,1975_Ag2Na4.cif
Ag2Nb,Immm,2,0.3134987729553824,3738_Ag2Nb.cif,4113_Ag2Nb.cif
Ag2Nb4,Cmcm,2,0.2978254077646962,3824_Ag2Nb4.cif,3877_Ag2Nb4.cif
Ag2Sn2,P4/nmm,2,0.014143886149061001,3810_Ag2Sn2.cif,1590_Ag2Sn2.cif
Ag3Al5,P1,2,-0.00504394419993985,0063_Ag3Al5.cif,2437_Ag3Al5.cif
Ag3Mn,P4/mmm,2,0.23139987500212156,3560_Ag3Mn.cif,0402_Ag3Mn.cif
Ag4Al2,Cmcm,2,-0.0588531578943616,4991_Ag4Al2.cif,4992_Ag4Al2.cif
Ag4Al8,P-1,2,-0.0200452319492372,0371_Ag4Al8.cif,2393_Ag4Al8.cif
Ag4Br2,Cmcm,2,-0.09041203246060875,2584_Ag4Br2.cif,2971_Ag4Br2.cif
Ag4Na2,Pnnm,2,0.0165116819565905,1950_Ag4Na2.cif,4221_Ag4Na2.cif
Ag4Pt8,P-1,2,0.0352566128887691,3339_Ag4Pt8.cif,3369_Ag4Pt8.cif
Ag5In,P4/mmm,2,0.0076504917016609,2277_Ag5In.cif,0233_Ag5In.cif
Ag7Al5,P1,2,-0.035299789201198195,1594_Ag7Al5.cif,1110_Ag7Al5.cif
Ag8P16,Fd-3m,2,0.5147955174023908,2113_Ag8P16.cif,1441_Ag8P16.cif
AgAl2,Immm,2,0.04126650222575925,0661_AgAl2.cif,2397_AgAl2.cif
AgBa,P4/mmm,2,-0.13526788240077064,3526_AgBa.cif,3779_AgBa.cif
AgBr3,Cmmm,2,0.034500893452374545,1257_AgBr3.cif,1252_AgBr3.cif
AgGa5,Cmmm,2,0.0342106518752354,4901_AgGa5.cif,4909_AgGa5.cif
AgMn3,P4/mmm,2,0.41100409077969946,0720_AgMn3.cif,2487_AgMn3.cif
AgRb,Pm-3m,2,0.07145751504471395,3317_AgRb.cif,3359_AgRb.cif
AgSr,Pm-3m,2,-0.15638384439492745,4893_AgSr.cif,4894_AgSr.cif
AgSr3,P4/mmm,2,-0.13762175878022104,4210_AgSr3.cif,4272_AgSr3.cif
