cif_name,formula,space_group,value per atom,value,id
3052_W5As.cif,W5As,Cmmm,0.2297891868005095,1.3787351208030572,PN_M64NB7DPCHQEF4NAXPUKWSODUTQEJKQV
3053_SrSb.cif,SrSb,F-43m,-0.3381110220115038,-0.6762220440230076,PN_NXCCMPXB74VGWYJHCCYQ6RPVESCT3QE4
3054_AlPb3.cif,AlPb3,Fm-3m,0.2026536934610288,0.8106147738441152,PN_BEIKHD7IHFJEYLGPDWK4DLVKDBMVQ2I2
3055_NpSn.cif,NpSn,P4/mmm,-0.2546962465431246,-0.5093924930862492,PN_XLX7M5LCHAGY5XYTCUYL7EWJ4ZVEXAE5
3056_AgNb3.cif,AgNb3,Fm-3m,0.2892068832617926,1.156827533047171,PN_XPFJPLLTALJGCDNTNCD3AXZDNCY3CH6S
3057_Ca2K6.cif,Ca2K6,Pm-3n,0.1668564868052322,1.334851894441858,PN_7KIWXKEPYBLD3WF7T556K24ZP4RENXPK
3058_Ba4P2.cif,Ba4P2,I4_1/amd,-0.7354421307758674,-4.412652784655204,PN_ROXNU4FIC46VRJ43HMVSUZFWMRX7ZAEP
3059_Mo3V.cif,Mo3V,Immm,-0.1013005671636602,-0.4052022686546408,PN_BUKVEQSBJ63E72KKR6MUFSBXFZJMED7W
3060_Rh5W3.cif,Rh5W3,Cmmm,-0.1732244838902854,-1.3857958711222835,PN_2AXZIXQLJSEH27CHXKTZM56NW4RP7RT6
3063_Al4Br2.cif,Al4Br2,Pnnm,-0.1377962558375311,-0.8267775350251867,PN_SQGOJPXO24ZKYMY6IKZRUG3QZYDGNRZ7
3064_Mo2V2.cif,Mo2V2,Cmme,-0.0680563425467291,-0.2722253701869164,PN_2NQMBPWSZDM3Y34Z3WSDDEPQVSZ6KMSK
3065_Nb8Br40.cif,Nb8Br40,Pnma,-0.9904254432297014,-47.54042127502567,PN_MXQUL2VAVOVPR3STW43PBL3VE4437Q5R
3066_K4Ta2.cif,K4Ta2,I4/mcm,1.1322507917836984,6.793504750702191,PN_R4YKA42KUZD66LHOKMWRVIF443GJEVWJ
3067_Pt4Rh8.cif,Pt4Rh8,Pa-3,0.7665586897212068,9.198704276654482,PN_PWQFQI5WH2NUJT52FY2VR2T3RBVIZ4IC
3068_Fe2Na2.cif,Fe2Na2,P4/nmm,0.4438350170722662,1.775340068289065,PN_E4OOACAUAL43CTUUYRJL7LDIO7PK3WIH
3069_Au3Mn.cif,Au3Mn,P4/mmm,-0.0381126143200756,-0.1524504572803025,PN_RZPAMYFTJ6HQQQ3ONHOQGG45LY4NSINQ
3070_Mo2Rh2.cif,Mo2Rh2,Cmcm,-0.0447398362324946,-0.1789593449299786,PN_UJ6I26PVF7ZONX7YX4LOZ3OK26HCYPJW
3071_CaSb3.cif,CaSb3,Cmmm,-0.2721827868377766,-1.0887311473511063,PN_JQR2QYW3ZMGRF5NZQLNQJ5QS37ISKVB2
3072_Mn4Rh2.cif,Mn4Rh2,Cmcm,0.0161174144536886,0.0967044867221318,PN_GZ7I2C6E7WE6ON5O3FZPPCYK2R2JHWPI
3073_Ag2Mn.cif,Ag2Mn,Immm,0.2038998473890263,1.223399084334158,PN_322Q7B5TSKOMKHOAUBADYMBKTE5CUP72
3074_Mo4V8.cif,Mo4V8,Pnma,-0.0006408570692784,-0.0076902848313409,PN_ULJXNWUPOCVSFCLGFSFTWQ72GJF6KXT4
3075_Cu2Ta4.cif,Cu2Ta4,Cmcm,0.1639079811589283,0.98344788695357,PN_ZFIYMFXQMJ7OWM7OPYZBVOXKTCNMXFWL
3076_Au3Mn.cif,Au3Mn,I4/mmm,-0.0557070756025801,-0.2228283024103206,PN_MRBLNV3NOOULXCACNRWE4BZNGKT2XP3Y
3077_Al3Sn3.cif,Al3Sn3,Cm,0.125480888915901,0.7528853334954064,PN_655JPMGLGS672S7MUXEA5VLCE5RKQIR3
3078_AlPt3.cif,AlPt3,Cmmm,-0.5888720165519494,-2.3554880662077977,PN_GQC54DVQHRAABQDVGW5X3FNTF6527D4K
3079_Ag3Al.cif,Ag3Al,Pm-3m,-0.0439969828079953,-0.1759879312319814,PN_BTEVWSF6Z37QEV7XXM6ANIIOZSUEKSW7
3080_GeAs3.cif,GeAs3,Pmmm,0.4621237117053614,1.8484948468214453,PN_YBKDQJ3JWPRHN4UDYXKEIROEZINI7MPP
3081_BaU.cif,BaU,Fm-3m,1.6859382982010027,3.371876596402005,PN_UG4MZNMAHQAPROHFN52ZAQQGNMEEHLKH
3082_Pd3P.cif,Pd3P,P4/mmm,-0.2245172311260823,-0.8980689245043294,PN_AYPK5D7RDFBCRIX4GKJ4EZTQA7G3YZ2Y
3083_AgFe2.cif,AgFe2,Fmmm,0.2691876946108304,0.8075630838324912,PN_QKWKUQBH6ZLASTV6MU5XSWMUNRQR74BJ
3084_Au2Nb4.cif,Au2Nb4,C2/m,0.0528566404423867,0.3171398426543206,PN_XT5C6AIM7LC4CSKAOPXHOYI3TPSQCZYH
3085_K4Sn16.cif,K4Sn16,I-43m,-0.0769619674630533,-1.5392393492610663,PN_U67JPNYRY7BFAAUWYXKUM6ZGXCELJ6RG
3086_NiV.cif,NiV,P4/mmm,-0.1710537031610801,-0.3421074063221603,PN_TAGAQA5272SBHGKWH5JNJICZJP6EJ3UI
3087_Rh4As12.cif,Rh4As12,Im-3,-0.4381732386554331,-7.01077181848693,PN_XE3XHRGEGINNAPW7GMB26KYNRTH7PK5B
3088_Sn2W2.cif,Sn2W2,Imma,0.6135059614810894,2.454023845924357,PN_QROZ7AQIYP33UI2Y2SKA7UP7JHK74TXF
3089_PdSb3.cif,PdSb3,P4/mmm,-0.0258166454470663,-0.1032665817882652,PN_RU6AWCEUT3VS7RWJXKHPN6RFB2KIP7QA
3090_Mo4W4.cif,Mo4W4,Pnma,0.380614293590968,3.044914348727744,PN_UDVFMK4JZWY4SI6STU2BZHCZWPCY6MEP
3091_Al4Sn2.cif,Al4Sn2,Cm,0.1378266215590902,0.8269597293545417,PN_X5JDJCXKDFUU2OVLCTZQCLEZYRDJNOLG
