file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R
197_Mn10Sn6,Mn10Sn6,I4/mcm,0.2141267769039148,Mn5Sn3,2164.550700637412,1687.089859872518
198_K8P4,K8P4,Pnma,-0.0861383471739086,K2P,1785.115854063029,6604.189021558799
199_Al2V,Al2V,Fmmm,3.021478292177701,Al2V,2425.517363602701,2165.436278027342
201_CrPd,CrPd,Fm-3m,0.7786205625391744,CrPd,3167.177515416678,6719.923101250441
202_K3Na,K3Na,P4/mmm,0.0175885883206032,K3Na,1601.67235209096,6102.007931682384
203_NaPb3,NaPb3,Fm-3m,-0.0546219459481367,NaPb3,2642.934820561786,1753.634541706451
204_Ni3Sb,Ni3Sb,I4/mmm,-0.1361405822875303,Ni3Sb,3820.78779157414,2276.738667245053
205_Ir3Mn4,Ir3Mn4,I4/mmm,0.0216022662820246,Mn4Ir3,4423.869814281757,7085.705036988929
206_Cr12W18,Cr12W18,P4_2/mnm,0.3346698123646452,Cr2W3,6381.293620469611,4268.27146771639
207_CrRh3,CrRh3,I4/mmm,-0.0699913797349944,CrRh3,3185.585172239616,7437.821717345056
208_PI,PI,R-3m,0.6765507848780659,PI,4331.055765813237,4858.856300088286
209_CuI,CuI,P-6m2,0.163268240844149,CuI,3798.916867991978,3698.916867991978
210_Al18Pb6,Al18Pb6,Pmmn,0.208434471028663,Al3Pb,2390.991701743955,1575.266692177422
211_WSb,WSb,P-6m2,0.5521977096633099,SbW,7358.586387434554,3941.413612565445
212_Fe2Ga4,Fe2Ga4,I4/mcm,-0.1746195386096053,Ga2Fe,4613.530577445965,1757.021060878381
213_Mn2Sn2,Mn2Sn2,I4_1/amd,0.1906174282030415,MnSn,2283.624166341751,1663.27516673165
214_PI,PI,R-3m,0.6761453129882056,PI,4331.055765813237,4858.856300088286
215_AgAl2,AgAl2,P4/mmm,0.1927638806395458,Al2Ag,1333.381082158326,1266.618917841674
216_Cr5Rh4,Cr5Rh4,I4/mmm,0.043413251064886,Cr5Rh4,3161.28952765959,6490.291578724023
217_Ge8Br,Ge8Br,I4/mmm,0.2846492762005539,Ge8Br,5058.241758241757,2504.395604395604
218_Ag5Al2,Ag5Al2,I4/mmm,-0.0047721081775178,Al2Ag5,1236.381396503911,1363.618603496089
219_Ag4Al2,Ag4Al2,I4_1/amd,0.0373786797866924,AlAg2,1244.465668678022,1355.534331321978
220_Cr8Rh,Cr8Rh,I4/mmm,0.215390972454407,Cr8Rh,3119.832452676882,4873.465654398378
221_Mo7Nb,Mo7Nb,Fm-3m,0.4178278478907451,NbMo7,3141.31983620166,5725.347447000952
222_BaIr2,BaIr2,Fm-3m,1.7617864823163814,BaIr2,4842.002372733877,7310.246453836144
223_Pd12Ta18,Pd12Ta18,P4_2/mnm,-0.1882194332244068,Ta3Pd2,2553.487027984356,5701.287210611043
224_K2As6,K2As6,I4/mmm,0.0183152754736446,KAs3,3062.917664501023,4474.164670997953
225_AlPd2,AlPd2,I4/mmm,-0.7917135539533374,AlPd2,3019.989221935548,7212.452845968023
226_Al4Pb2,Al4Pb2,Pnnm,0.4596315211143362,Al2Pb,2472.711420173142,1634.699214671376
227_Ir2Na4,Ir2Na4,Cmcm,0.2310379275124135,Na2Ir,4650.659489482718,7439.925365807129
228_Ge3P,Ge3P,Pmmm,0.4028421099060848,Ge3P,4889.329142768954,2298.226285799803
229_Pd2Rh2,Pd2Rh2,P4/nmm,0.0413431690888472,PdRh,3200.0,8000.0
230_Cu7Pt5,Cu7Pt5,P1,-0.1185395596556523,Cu7Pt5,4278.513943398379,6719.668197391711
231_Ba3Ir,Ba3Ir,Pm-3m,0.3315548688782104,Ba3Ir,3795.339441706195,4463.323281440853
232_Ta3Ge,Ta3Ge,P4/mmm,-0.1070394710213111,Ta3Ge,2654.06302594818,4457.73907491676
233_Ag6Al6,Ag6Al6,Cmm2,-0.0259394001015677,AlAg,1280.034381616517,1319.965618383483
234_Ag5In,Ag5In,P4/mmm,0.0038147416913586,InAg5,1568.592039550018,1505.312011300005
235_PAs3,PAs3,Fm-3m,0.5081874789383827,As3P,3142.550570844298,4133.226440054825
236_VW2,VW2,Immm,0.4517394004088544,VW2,6549.751864154135,4190.480183172627
238_In4Pb16,In4Pb16,I-43m,0.2226825117026813,InPb4,2773.007085494342,1824.335695164781
239_Pb2Sb6,Pb2Sb6,Cmcm,0.156305874512693,Sb3Pb,6017.942984907771,2820.905533817775
241_CrTa,CrTa,F-43m,2.5070367353222007,TaCr,2478.570315489587,4643.750973946611
242_Ag7Ta,Ag7Ta,Fm-3m,0.3318113890532039,TaAg7,1412.646679799075,2057.271555742597
243_FePb3,FePb3,Pm-3m,0.4786018239383995,FePb3,2675.26957908022,1767.026105440294
244_Ni4Rh2,Ni4Rh2,Cmmm,0.1668692690605411,Ni2Rh,2027.689574261107,4536.355560316906
245_AlRh2,AlRh2,I4/mmm,-0.637019060757113,AlRh2,3014.553928490902,7188.673437147697
246_WSb,WSb,Pm-3m,0.6402363637939983,SbW,7358.586387434554,3941.413612565445
247_Ba4Ir2,Ba4Ir2,Fd-3m,1.2154619112347849,Ba2Ir,4029.283249548591,5099.650438772167
248_Cu5Pt7,Cu5Pt7,P1,-0.1172246329049636,Cu5Pt7,4763.866363931236,7665.483170737793
249_Ni8Ta16,Ni8Ta16,Fd-3m,-0.0807124775193379,Ta2Ni,2118.584435224151,4339.483566338229
251_Ba2Ni2,Ba2Ni2,P6_3mc,0.597629677831121,BaNi,2401.150084378973,2060.460033751589
252_AuPt,AuPt,F-43m,1.1568970335132995,PtAu,3289.435924527379,5030.552497425402
253_Cu3Ge4,Cu3Ge4,I4/mmm,0.2297082476966535,Cu3Ge4,3834.157249198875,1741.530513426905
255_Mo2Pb2,Mo2Pb2,Cmcm,0.5946080176813062,MoPb,2605.053770535066,2907.706010424226
256_CuIr,CuIr,F-43m,1.783717347151633,CuIr,4531.019342125327,7211.730000039099
258_Cr5Nb,Cr5Nb,F-43m,0.1469112927238486,NbCr5,4521.686326224426,5337.393654306445
259_K2As2,K2As2,P4/nmm,-0.160004924188351,KAs,2751.347703339505,5097.304593320991
260_CuNi,CuNi,F-43m,1.2524800810011456,CuNi,1311.909253481283,1500.0
261_Fe3Na,Fe3Na,Fm-3m,1.127116443806946,NaFe3,2243.134831355823,1291.401037092493
262_BaBr3,BaBr3,P4/mmm,-1.4692358460725734,BaBr3,3190.732523691183,5224.565363264808
263_Fe2Pb2,Fe2Pb2,Fd-3m,1.224709304364091,FePb,2636.309376722614,1715.079168963485
264_Cr4P,Cr4P,Im-3m,0.722891464014863,Cr4P,2957.417976792105,4229.620021098087
265_Pd16Ta14,Pd16Ta14,P4_2/mnm,-0.2155509804832832,Ta7Pd8,2661.768532086731,6086.288114086154
266_Ag4Al4,Ag4Al4,Cccm,-0.0171242730527843,AlAg,1280.034381616517,1319.965618383483
267_CrP7,CrP7,Fm-3m,0.6510238187764203,CrP7,2212.771816946533,4906.571075503152
268_FeW2,FeW2,I4/mmm,0.3111246762356288,FeW2,6393.454931822207,3917.612891800957
269_SnP3,SnP3,Fm-3m,0.5314056150159168,SnP3,2336.557043838972,3136.750577605997
270_FeNa,FeNa,Fm-3m,2.2341407373912583,NaFe,2020.894431011139,1137.542298392327
271_PtV2,PtV2,Fmmm,-0.3400272227183064,V2Pt,4745.227247471941,7144.452413904575
272_NbPb3,NbPb3,Cmmm,0.5071251497625129,NbPb3,3454.166819336169,2710.201333681583
273_Ba3Br,Ba3Br,P4/mmm,-0.6944199402649203,Ba3Br,3048.733342142981,3047.244579525702
274_CsBr,CsBr,F-43m,-1.85028031224608,CsBr,4986.225479771559,6337.924840076146
275_V4W4,V4W4,Pnma,0.2378765211926374,VW,6197.1959034251,4104.72332786016
276_K5Ge,K5Ge,Amm2,0.1171544290501849,K5Ge,2675.282650490524,5764.167209000061
277_Ba2Cu2,Ba2Cu2,Cmcm,-0.0169725723717149,BaCu,2557.111209570226,2046.920691182986
278_Al12Sn4,Al12Sn4,Pnma,0.1373679800708411,Al3Sn,2194.576787139825,1356.746072283895
279_Ba2Cu4,Ba2Cu4,Cmcm,0.1679982061833745,BaCu2,2327.095254123191,1915.483002356109
280_K3P,K3P,Imm2,0.1089889412197191,K3P,1762.670887257349,6761.303789198556
281_YbBi,YbBi,F-43m,-0.1419430461440991,YbBi,7202.432435545326,4686.415699266322
282_V2W,V2W,Immm,0.1508598416056431,V2W,5680.655390010605,3979.078338110688
283_Fe3Pb,Fe3Pb,Pm-3m,0.3868168751662972,Fe3Pb,2565.877219902064,1621.169626536085
284_Cu6Pt6,Cu6Pt6,P1,-0.0941277396963631,CuPt,4541.760816610602,7232.662104164249
285_MoPb3,MoPb3,Immm,0.5025277881857404,MoPb3,2659.887950497533,2267.973910862112
286_Ca3P5,Ca3P5,Cmmm,-0.4401060503561709,Ca3P5,2830.397188600146,3526.615853178672
287_Ca12Mo4,Ca12Mo4,Pnma,0.6399058390486374,Ca3Mo,3234.286269394099,3186.474784201615
288_As2Br6,As2Br6,I4/mmm,0.3046454324844947,AsBr3,3300.0,6209.442348178961
289_P5As,P5As,F-43m,0.7837244693717675,AsP5,2423.856156573288,4741.352482899525
290_W24P5,W24P5,I-43m,0.4316480836713108,P5W24,6830.4490551265,4327.128151179761
291_Fe24Pb5,Fe24Pb5,I-43m,0.554399661464772,Fe24Pb5,2530.792667530763,1574.39022337435
293_Mo4Pb2,Mo4Pb2,Cmcm,0.5902547794711998,Mo2Pb,2555.758243961111,3482.820487120377
295_Fe2Pb,Fe2Pb,Fm-3m,1.38281204978178,Fe2Pb,2594.926150083101,1659.901533444134
296_Ag2Ge2,Ag2Ge2,Pmmn,0.173659045568022,AgGe,2849.919505041877,1601.209695736814
297_FePd3,FePd3,Pm-3m,-0.1061349423812592,FePd3,3080.897348742352,7017.403127124405
298_PtV3,PtV3,P4/mmm,-0.2900346358635062,V3Pt,4533.614010580368,6596.1817546855
299_NbW3,NbW3,Cmmm,0.4719516784127222,NbW3,7216.253670434782,4948.761011304348
